Heure,Dimanche,Jeudi,Lundi,Mardi,Mercredi,Samedi,Vendredi
00:00:00,885,885,885,885,885,885,885
00:20:00,885,885,885,885,885,885,885
00:40:00,885,885,885,885,885,885,885
01:00:00,885,885,885,885,885,885,885
01:20:00,885,885,885,885,885,885,885
01:40:00,885,885,885,885,885,885,885
02:00:00,885,885,885,885,885,885,885
02:20:00,885,885,885,885,885,885,885
02:40:00,885,885,885,885,885,885,885
03:00:00,885,885,885,885,885,885,885
03:20:00,885,885,885,885,885,885,885
03:40:00,885,885,885,885,885,885,885
04:00:00,885,885,885,885,885,885,885
04:20:00,885,885,885,885,885,885,885
04:40:00,885,885,885,885,885,885,885
05:00:00,885,885,885,885,885,885,885
05:20:00,885,885,885,885,885,885,885
05:40:00,885,885,885,885,885,885,885
06:00:00,885,885,885,885,885,885,885
06:20:00,885,885,885,885,885,885,885
06:40:00,885,885,885,885,885,885,885
07:00:00,885,885,885,885,885,885,885
07:20:00,885,885,885,885,885,885,885
07:40:00,885,885,885,885,885,885,885
08:00:00,885,885,885,885,885,885,885
08:20:00,885,885,885,885,885,885,885
08:40:00,885,885,885,885,885,885,885
09:00:00,885,885,885,885,885,885,885
09:20:00,885,885,885,885,885,885,885
09:40:00,885,885,885,885,885,885,885
10:00:00,885,885,885,885,885,885,885
10:20:00,885,885,885,885,885,885,885
10:40:00,885,885,885,885,885,885,885
11:00:00,885,885,885,885,885,885,885
11:20:00,885,885,885,885,885,885,885
11:40:00,885,885,885,885,885,885,885
12:00:00,885,885,885,885,885,885,885
12:20:00,885,885,885,885,885,885,885
12:40:00,885,885,885,885,885,885,885
13:00:00,885,885,885,885,885,885,885
13:20:00,885,885,885,885,885,885,885
13:40:00,885,885,885,885,885,885,885
14:00:00,885,885,885,885,885,885,885
14:20:00,885,885,885,885,885,885,885
14:40:00,885,885,885,885,885,885,885
15:00:00,885,885,885,885,885,885,885
15:20:00,885,885,885,885,885,885,885
15:40:00,885,885,885,885,885,885,885
16:00:00,885,885,885,885,885,885,885
16:20:00,885,885,885,885,885,885,885
16:40:00,885,885,885,885,885,885,885
17:00:00,885,885,885,885,885,885,885
17:20:00,885,885,885,885,885,885,885
17:40:00,885,885,885,885,885,885,885
18:00:00,885,885,885,885,885,885,885
18:20:00,885,885,885,885,885,885,885
18:40:00,885,885,885,885,885,885,885
19:00:00,885,885,885,885,885,885,885
19:20:00,885,885,885,885,885,885,885
19:40:00,885,885,885,885,885,885,885
20:00:00,885,885,885,885,885,885,885
20:20:00,885,885,885,885,885,885,885
20:40:00,885,885,885,885,885,885,885
21:00:00,885,885,885,885,885,885,885
21:20:00,885,885,885,885,885,885,885
21:40:00,885,885,885,885,885,885,885
22:00:00,885,885,885,885,885,885,885
22:20:00,885,885,885,885,885,885,885
22:40:00,885,885,885,885,885,885,885
23:00:00,885,885,885,885,885,885,885
23:20:00,885,885,885,885,885,885,885
23:40:00,885,885,885,885,885,885,885
