Park DateTime,Park Status,Occupated,Total,Journb,Jour,Free,TauxF,Heure,Date
2019-01-01 01:00:00,Open,0,260,1,Mardi,260,100.0,01:00:00,2019-01-01
2019-01-01 01:20:00,Open,0,260,1,Mardi,260,100.0,01:20:00,2019-01-01
2019-01-01 01:40:00,Open,0,260,1,Mardi,260,100.0,01:40:00,2019-01-01
2019-01-01 02:00:00,Open,0,260,1,Mardi,260,100.0,02:00:00,2019-01-01
2019-01-01 02:20:00,Open,0,260,1,Mardi,260,100.0,02:20:00,2019-01-01
2019-01-01 02:40:00,Open,0,260,1,Mardi,260,100.0,02:40:00,2019-01-01
2019-01-01 03:00:00,Open,0,260,1,Mardi,260,100.0,03:00:00,2019-01-01
2019-01-01 03:20:00,Open,0,260,1,Mardi,260,100.0,03:20:00,2019-01-01
2019-01-01 03:40:00,Open,0,260,1,Mardi,260,100.0,03:40:00,2019-01-01
2019-01-01 04:00:00,Open,0,260,1,Mardi,260,100.0,04:00:00,2019-01-01
2019-01-01 04:20:00,Open,0,260,1,Mardi,260,100.0,04:20:00,2019-01-01
2019-01-01 04:40:00,Open,0,260,1,Mardi,260,100.0,04:40:00,2019-01-01
2019-01-01 05:00:00,Open,0,260,1,Mardi,260,100.0,05:00:00,2019-01-01
2019-01-01 05:20:00,Open,0,260,1,Mardi,260,100.0,05:20:00,2019-01-01
2019-01-01 05:40:00,Open,0,260,1,Mardi,260,100.0,05:40:00,2019-01-01
2019-01-01 06:00:00,Open,0,260,1,Mardi,260,100.0,06:00:00,2019-01-01
2019-01-01 06:20:00,Open,0,260,1,Mardi,260,100.0,06:20:00,2019-01-01
2019-01-01 06:40:00,Open,0,260,1,Mardi,260,100.0,06:40:00,2019-01-01
2019-01-01 07:00:00,Open,0,260,1,Mardi,260,100.0,07:00:00,2019-01-01
2019-01-01 07:20:00,Open,0,260,1,Mardi,260,100.0,07:20:00,2019-01-01
2019-01-01 07:40:00,Open,0,260,1,Mardi,260,100.0,07:40:00,2019-01-01
