Park DateTime,Park Status,Occupated,Total,Journb,Jour,Free,TauxF,Heure,Date
2019-01-01 01:00:00,Open,405,586,1,Mardi,181,30.887372013651877,01:00:00,2019-01-01
2019-01-01 01:20:00,Open,403,586,1,Mardi,183,31.22866894197952,01:20:00,2019-01-01
2019-01-01 01:40:00,Open,392,586,1,Mardi,194,33.105802047781566,01:40:00,2019-01-01
2019-01-01 02:00:00,Open,384,586,1,Mardi,202,34.470989761092156,02:00:00,2019-01-01
2019-01-01 02:20:00,Open,376,586,1,Mardi,210,35.83617747440273,02:20:00,2019-01-01
2019-01-01 02:40:00,Open,375,586,1,Mardi,211,36.00682593856656,02:40:00,2019-01-01
2019-01-01 03:00:00,Open,366,586,1,Mardi,220,37.54266211604095,03:00:00,2019-01-01
2019-01-01 03:20:00,Open,358,586,1,Mardi,228,38.907849829351534,03:20:00,2019-01-01
2019-01-01 03:40:00,Open,347,586,1,Mardi,239,40.784982935153586,03:40:00,2019-01-01
2019-01-01 04:00:00,Open,339,586,1,Mardi,247,42.15017064846416,04:00:00,2019-01-01
2019-01-01 04:20:00,Open,335,586,1,Mardi,251,42.83276450511945,04:20:00,2019-01-01
2019-01-01 04:40:00,Open,332,586,1,Mardi,254,43.344709897610926,04:40:00,2019-01-01
2019-01-01 05:00:00,Open,328,586,1,Mardi,258,44.027303754266214,05:00:00,2019-01-01
2019-01-01 05:20:00,Open,320,586,1,Mardi,266,45.39249146757679,05:20:00,2019-01-01
2019-01-01 05:40:00,Open,320,586,1,Mardi,266,45.39249146757679,05:40:00,2019-01-01
2019-01-01 06:00:00,Open,320,586,1,Mardi,266,45.39249146757679,06:00:00,2019-01-01
2019-01-01 06:20:00,Open,319,586,1,Mardi,267,45.563139931740615,06:20:00,2019-01-01
2019-01-01 06:40:00,Open,318,586,1,Mardi,268,45.73378839590443,06:40:00,2019-01-01
2019-01-01 07:00:00,Open,315,586,1,Mardi,271,46.2457337883959,07:00:00,2019-01-01
2019-01-01 07:20:00,Open,315,586,1,Mardi,271,46.2457337883959,07:20:00,2019-01-01
2019-01-01 07:40:00,Open,316,586,1,Mardi,270,46.075085324232084,07:40:00,2019-01-01
2019-01-01 08:00:00,Open,314,586,1,Mardi,272,46.41638225255973,08:00:00,2019-01-01
2019-05-01 15:40:00,Open,432,586,2,Mercredi,154,26.27986348122867,15:40:00,2019-05-01
2019-05-01 16:00:00,Open,447,586,2,Mercredi,139,23.72013651877133,16:00:00,2019-05-01
2019-05-01 16:20:00,Open,446,586,2,Mercredi,140,23.890784982935152,16:20:00,2019-05-01
