Park DateTime,Park Status,Occupated,Total,Journb,Jour,Free,TauxF,Heure,Date
2019-01-01 01:00:00,Open,10,480,1,Mardi,470,97.91666666666666,01:00:00,2019-01-01
2019-01-01 01:20:00,Open,10,480,1,Mardi,470,97.91666666666666,01:20:00,2019-01-01
2019-01-01 01:40:00,Open,9,480,1,Mardi,471,98.125,01:40:00,2019-01-01
2019-01-01 02:00:00,Open,9,480,1,Mardi,471,98.125,02:00:00,2019-01-01
2019-01-01 02:20:00,Open,9,480,1,Mardi,471,98.125,02:20:00,2019-01-01
2019-01-01 02:40:00,Open,9,480,1,Mardi,471,98.125,02:40:00,2019-01-01
2019-01-01 03:00:00,Open,9,480,1,Mardi,471,98.125,03:00:00,2019-01-01
2019-01-01 03:20:00,Open,9,480,1,Mardi,471,98.125,03:20:00,2019-01-01
2019-01-01 03:40:00,Open,9,480,1,Mardi,471,98.125,03:40:00,2019-01-01
2019-01-01 04:00:00,Open,9,480,1,Mardi,471,98.125,04:00:00,2019-01-01
2019-01-01 04:20:00,Open,9,480,1,Mardi,471,98.125,04:20:00,2019-01-01
2019-01-01 04:40:00,Open,9,480,1,Mardi,471,98.125,04:40:00,2019-01-01
2019-01-01 05:00:00,Open,9,480,1,Mardi,471,98.125,05:00:00,2019-01-01
2019-01-01 05:20:00,Open,9,480,1,Mardi,471,98.125,05:20:00,2019-01-01
2019-01-01 05:40:00,Open,9,480,1,Mardi,471,98.125,05:40:00,2019-01-01
2019-01-01 06:00:00,Open,9,480,1,Mardi,471,98.125,06:00:00,2019-01-01
2019-01-01 06:20:00,Open,9,480,1,Mardi,471,98.125,06:20:00,2019-01-01
2019-01-01 06:40:00,Open,9,480,1,Mardi,471,98.125,06:40:00,2019-01-01
2019-01-01 07:00:00,Open,9,480,1,Mardi,471,98.125,07:00:00,2019-01-01
2019-01-01 07:20:00,Open,9,480,1,Mardi,471,98.125,07:20:00,2019-01-01
2019-01-01 07:40:00,Open,10,480,1,Mardi,470,97.91666666666666,07:40:00,2019-01-01
2019-01-01 08:00:00,Open,10,480,1,Mardi,470,97.91666666666666,08:00:00,2019-01-01
2019-01-01 08:20:00,Open,11,480,1,Mardi,469,97.70833333333333,08:20:00,2019-01-01
2019-01-01 08:40:00,Open,11,480,1,Mardi,469,97.70833333333333,08:40:00,2019-01-01
2019-01-01 09:00:00,Open,11,480,1,Mardi,469,97.70833333333333,09:00:00,2019-01-01
2019-01-01 09:20:00,Open,11,480,1,Mardi,469,97.70833333333333,09:20:00,2019-01-01
2019-01-01 09:40:00,Open,11,480,1,Mardi,469,97.70833333333333,09:40:00,2019-01-01
2019-01-01 10:00:00,Open,11,480,1,Mardi,469,97.70833333333333,10:00:00,2019-01-01
2019-01-01 10:20:00,Open,11,480,1,Mardi,469,97.70833333333333,10:20:00,2019-01-01
2019-01-01 10:40:00,Open,14,480,1,Mardi,466,97.08333333333333,10:40:00,2019-01-01
2019-01-01 11:00:00,Open,17,480,1,Mardi,463,96.45833333333333,11:00:00,2019-01-01
2019-01-01 11:20:00,Open,18,480,1,Mardi,462,96.25,11:20:00,2019-01-01
2019-01-01 11:40:00,Open,19,480,1,Mardi,461,96.04166666666667,11:40:00,2019-01-01
2019-01-01 12:00:00,Open,22,480,1,Mardi,458,95.41666666666667,12:00:00,2019-01-01
2019-01-01 12:20:00,Open,22,480,1,Mardi,458,95.41666666666667,12:20:00,2019-01-01
2019-01-01 12:40:00,Open,24,480,1,Mardi,456,95.0,12:40:00,2019-01-01
2019-01-01 13:00:00,Open,24,480,1,Mardi,456,95.0,13:00:00,2019-01-01
2019-01-01 13:20:00,Open,23,480,1,Mardi,457,95.20833333333333,13:20:00,2019-01-01
2019-01-01 13:40:00,Open,24,480,1,Mardi,456,95.0,13:40:00,2019-01-01
2019-01-01 14:00:00,Open,22,480,1,Mardi,458,95.41666666666667,14:00:00,2019-01-01
2019-01-01 14:20:00,Open,24,480,1,Mardi,456,95.0,14:20:00,2019-01-01
2019-01-01 14:40:00,Open,25,480,1,Mardi,455,94.79166666666666,14:40:00,2019-01-01
2019-01-01 15:00:00,Open,27,480,1,Mardi,453,94.375,15:00:00,2019-01-01
2019-01-01 15:20:00,Open,26,480,1,Mardi,454,94.58333333333333,15:20:00,2019-01-01
2019-01-01 15:40:00,Open,27,480,1,Mardi,453,94.375,15:40:00,2019-01-01
2019-01-01 16:00:00,Open,26,480,1,Mardi,454,94.58333333333333,16:00:00,2019-01-01
