Park DateTime,Park Status,Occupated,Total,Journb,Jour,Free,TauxF,Heure,Date
2019-01-01 01:00:00,Open,108,700,1,Mardi,592,84.57142857142857,01:00:00,2019-01-01
2019-01-01 01:20:00,Open,107,700,1,Mardi,593,84.71428571428572,01:20:00,2019-01-01
2019-01-01 01:40:00,Open,107,700,1,Mardi,593,84.71428571428572,01:40:00,2019-01-01
2019-01-01 02:00:00,Open,107,700,1,Mardi,593,84.71428571428572,02:00:00,2019-01-01
2019-01-01 02:20:00,Open,107,700,1,Mardi,593,84.71428571428572,02:20:00,2019-01-01
2019-01-01 02:40:00,Open,107,700,1,Mardi,593,84.71428571428572,02:40:00,2019-01-01
2019-01-01 03:00:00,Open,107,700,1,Mardi,593,84.71428571428572,03:00:00,2019-01-01
2019-01-01 03:20:00,Open,107,700,1,Mardi,593,84.71428571428572,03:20:00,2019-01-01
2019-01-01 03:40:00,Open,107,700,1,Mardi,593,84.71428571428572,03:40:00,2019-01-01
2019-01-01 04:00:00,Open,107,700,1,Mardi,593,84.71428571428572,04:00:00,2019-01-01
2019-01-01 04:20:00,Open,107,700,1,Mardi,593,84.71428571428572,04:20:00,2019-01-01
2019-01-01 04:40:00,Open,106,700,1,Mardi,594,84.85714285714285,04:40:00,2019-01-01
2019-01-01 05:00:00,Open,106,700,1,Mardi,594,84.85714285714285,05:00:00,2019-01-01
2019-01-01 05:20:00,Open,106,700,1,Mardi,594,84.85714285714285,05:20:00,2019-01-01
2019-01-01 05:40:00,Open,105,700,1,Mardi,595,85.0,05:40:00,2019-01-01
2019-01-01 06:00:00,Open,104,700,1,Mardi,596,85.14285714285714,06:00:00,2019-01-01
2019-01-01 06:20:00,Open,104,700,1,Mardi,596,85.14285714285714,06:20:00,2019-01-01
2019-01-01 06:40:00,Open,103,700,1,Mardi,597,85.28571428571429,06:40:00,2019-01-01
2019-01-01 07:00:00,Open,102,700,1,Mardi,598,85.42857142857143,07:00:00,2019-01-01
2019-01-01 07:20:00,Open,102,700,1,Mardi,598,85.42857142857143,07:20:00,2019-01-01
2019-01-01 07:40:00,Open,101,700,1,Mardi,599,85.57142857142857,07:40:00,2019-01-01
2019-01-01 08:00:00,Open,101,700,1,Mardi,599,85.57142857142857,08:00:00,2019-01-01
2019-01-01 08:20:00,Open,101,700,1,Mardi,599,85.57142857142857,08:20:00,2019-01-01
2019-01-01 08:40:00,Open,102,700,1,Mardi,598,85.42857142857143,08:40:00,2019-01-01
2019-01-01 09:00:00,Open,102,700,1,Mardi,598,85.42857142857143,09:00:00,2019-01-01
2019-01-01 09:20:00,Open,102,700,1,Mardi,598,85.42857142857143,09:20:00,2019-01-01
2019-01-01 09:40:00,Open,102,700,1,Mardi,598,85.42857142857143,09:40:00,2019-01-01
2019-01-01 10:00:00,Open,103,700,1,Mardi,597,85.28571428571429,10:00:00,2019-01-01
2019-01-01 10:20:00,Open,104,700,1,Mardi,596,85.14285714285714,10:20:00,2019-01-01
2019-01-01 10:40:00,Open,106,700,1,Mardi,594,84.85714285714285,10:40:00,2019-01-01
2019-01-01 11:00:00,Open,112,700,1,Mardi,588,84.0,11:00:00,2019-01-01
2019-01-01 11:20:00,Open,120,700,1,Mardi,580,82.85714285714286,11:20:00,2019-01-01
2019-01-01 11:40:00,Open,118,700,1,Mardi,582,83.14285714285714,11:40:00,2019-01-01
2019-01-01 12:00:00,Open,119,700,1,Mardi,581,83.0,12:00:00,2019-01-01
2019-01-01 12:20:00,Open,120,700,1,Mardi,580,82.85714285714286,12:20:00,2019-01-01
2019-01-01 12:40:00,Open,119,700,1,Mardi,581,83.0,12:40:00,2019-01-01
2019-01-01 13:00:00,Open,120,700,1,Mardi,580,82.85714285714286,13:00:00,2019-01-01
2019-01-01 13:20:00,Open,120,700,1,Mardi,580,82.85714285714286,13:20:00,2019-01-01
2019-01-01 13:40:00,Open,118,700,1,Mardi,582,83.14285714285714,13:40:00,2019-01-01
2019-01-01 14:00:00,Open,113,700,1,Mardi,587,83.85714285714285,14:00:00,2019-01-01
2019-01-01 14:20:00,Open,112,700,1,Mardi,588,84.0,14:20:00,2019-01-01
2019-01-01 14:40:00,Open,111,700,1,Mardi,589,84.14285714285714,14:40:00,2019-01-01
2019-01-01 15:00:00,Open,110,700,1,Mardi,590,84.28571428571429,15:00:00,2019-01-01
2019-01-01 15:20:00,Open,111,700,1,Mardi,589,84.14285714285714,15:20:00,2019-01-01
2019-01-01 15:40:00,Open,105,700,1,Mardi,595,85.0,15:40:00,2019-01-01
2019-01-01 16:00:00,Open,106,700,1,Mardi,594,84.85714285714285,16:00:00,2019-01-01
2019-01-01 16:20:00,Open,104,700,1,Mardi,596,85.14285714285714,16:20:00,2019-01-01
2019-01-01 16:40:00,Open,102,700,1,Mardi,598,85.42857142857143,16:40:00,2019-01-01
2019-01-01 17:00:00,Open,99,700,1,Mardi,601,85.85714285714286,17:00:00,2019-01-01
2019-01-01 17:20:00,Open,100,700,1,Mardi,600,85.71428571428571,17:20:00,2019-01-01
2019-01-01 17:40:00,Open,101,700,1,Mardi,599,85.57142857142857,17:40:00,2019-01-01
2019-01-01 18:00:00,Open,104,700,1,Mardi,596,85.14285714285714,18:00:00,2019-01-01
2019-01-01 18:20:00,Open,100,700,1,Mardi,600,85.71428571428571,18:20:00,2019-01-01
2019-01-01 18:40:00,Open,95,700,1,Mardi,605,86.42857142857143,18:40:00,2019-01-01
2019-01-01 19:00:00,Open,94,700,1,Mardi,606,86.57142857142858,19:00:00,2019-01-01
2019-01-01 19:20:00,Open,94,700,1,Mardi,606,86.57142857142858,19:20:00,2019-01-01
2019-01-01 19:40:00,Open,95,700,1,Mardi,605,86.42857142857143,19:40:00,2019-01-01
2019-01-01 20:00:00,Open,92,700,1,Mardi,608,86.85714285714286,20:00:00,2019-01-01
2019-01-01 20:20:00,Open,92,700,1,Mardi,608,86.85714285714286,20:20:00,2019-01-01
2019-01-01 20:40:00,Open,91,700,1,Mardi,609,87.0,20:40:00,2019-01-01
2019-01-01 21:00:00,Open,89,700,1,Mardi,611,87.28571428571429,21:00:00,2019-01-01
2019-01-01 21:20:00,Open,89,700,1,Mardi,611,87.28571428571429,21:20:00,2019-01-01
2019-01-01 21:40:00,Open,89,700,1,Mardi,611,87.28571428571429,21:40:00,2019-01-01
2019-01-01 22:00:00,Open,89,700,1,Mardi,611,87.28571428571429,22:00:00,2019-01-01
2019-01-01 22:20:00,Open,88,700,1,Mardi,612,87.42857142857143,22:20:00,2019-01-01
2019-01-01 22:40:00,Open,88,700,1,Mardi,612,87.42857142857143,22:40:00,2019-01-01
2019-01-01 23:00:00,Open,88,700,1,Mardi,612,87.42857142857143,23:00:00,2019-01-01
2019-01-01 23:20:00,Open,88,700,1,Mardi,612,87.42857142857143,23:20:00,2019-01-01
2019-01-01 23:40:00,Open,88,700,1,Mardi,612,87.42857142857143,23:40:00,2019-01-01
2019-02-01 00:00:00,Open,88,700,4,Vendredi,612,87.42857142857143,00:00:00,2019-02-01
2019-02-01 00:20:00,Open,88,700,4,Vendredi,612,87.42857142857143,00:20:00,2019-02-01
2019-02-01 00:40:00,Open,88,700,4,Vendredi,612,87.42857142857143,00:40:00,2019-02-01
2019-02-01 01:00:00,Open,88,700,4,Vendredi,612,87.42857142857143,01:00:00,2019-02-01
2019-02-01 01:20:00,Open,88,700,4,Vendredi,612,87.42857142857143,01:20:00,2019-02-01
2019-02-01 01:40:00,Open,88,700,4,Vendredi,612,87.42857142857143,01:40:00,2019-02-01
2019-02-01 02:00:00,Open,88,700,4,Vendredi,612,87.42857142857143,02:00:00,2019-02-01
2019-02-01 02:20:00,Open,88,700,4,Vendredi,612,87.42857142857143,02:20:00,2019-02-01
2019-02-01 02:40:00,Open,88,700,4,Vendredi,612,87.42857142857143,02:40:00,2019-02-01
2019-02-01 03:00:00,Open,88,700,4,Vendredi,612,87.42857142857143,03:00:00,2019-02-01
2019-02-01 03:20:00,Open,88,700,4,Vendredi,612,87.42857142857143,03:20:00,2019-02-01
2019-02-01 03:40:00,Open,88,700,4,Vendredi,612,87.42857142857143,03:40:00,2019-02-01
2019-02-01 04:00:00,Open,88,700,4,Vendredi,612,87.42857142857143,04:00:00,2019-02-01
2019-02-01 04:20:00,Open,88,700,4,Vendredi,612,87.42857142857143,04:20:00,2019-02-01
2019-02-01 04:40:00,Open,89,700,4,Vendredi,611,87.28571428571429,04:40:00,2019-02-01
