Park DateTime,Park Status,Occupated,Total,Journb,Jour,Free,TauxF,Heure,Date
2019-01-01 01:00:00,Open,14,372,1,Mardi,358,96.23655913978494,01:00:00,2019-01-01
2019-01-01 01:20:00,Open,15,372,1,Mardi,357,95.96774193548387,01:20:00,2019-01-01
2019-01-01 01:40:00,Open,15,372,1,Mardi,357,95.96774193548387,01:40:00,2019-01-01
2019-01-01 02:00:00,Open,15,372,1,Mardi,357,95.96774193548387,02:00:00,2019-01-01
2019-01-01 02:20:00,Open,15,372,1,Mardi,357,95.96774193548387,02:20:00,2019-01-01
2019-01-01 02:40:00,Open,15,372,1,Mardi,357,95.96774193548387,02:40:00,2019-01-01
2019-05-01 16:00:00,Open,118,372,2,Mercredi,254,68.27956989247312,16:00:00,2019-05-01
2019-05-01 16:20:00,Open,117,372,2,Mercredi,255,68.54838709677419,16:20:00,2019-05-01
2019-05-01 16:40:00,Open,113,372,2,Mercredi,259,69.6236559139785,16:40:00,2019-05-01
2019-05-01 17:00:00,Open,110,372,2,Mercredi,262,70.43010752688173,17:00:00,2019-05-01
2019-05-01 17:20:00,Open,104,372,2,Mercredi,268,72.04301075268818,17:20:00,2019-05-01
2019-05-01 17:40:00,Open,90,372,2,Mercredi,282,75.80645161290323,17:40:00,2019-05-01
2019-05-01 18:00:00,Open,69,372,2,Mercredi,303,81.45161290322581,18:00:00,2019-05-01
2019-05-01 18:20:00,Open,56,372,2,Mercredi,316,84.94623655913979,18:20:00,2019-05-01
2019-05-01 18:40:00,Open,48,372,2,Mercredi,324,87.09677419354838,18:40:00,2019-05-01
2019-05-01 19:00:00,Open,47,372,2,Mercredi,325,87.36559139784946,19:00:00,2019-05-01
2019-05-01 19:20:00,Open,44,372,2,Mercredi,328,88.17204301075269,19:20:00,2019-05-01
2019-05-01 19:40:00,Open,42,372,2,Mercredi,330,88.70967741935483,19:40:00,2019-05-01
2019-05-01 20:00:00,Open,38,372,2,Mercredi,334,89.78494623655914,20:00:00,2019-05-01
2019-05-01 20:20:00,Open,38,372,2,Mercredi,334,89.78494623655914,20:20:00,2019-05-01
2019-05-01 20:40:00,Open,36,372,2,Mercredi,336,90.32258064516128,20:40:00,2019-05-01
2019-05-01 21:00:00,Open,33,372,2,Mercredi,339,91.12903225806451,21:00:00,2019-05-01
2019-05-01 21:20:00,Open,33,372,2,Mercredi,339,91.12903225806451,21:20:00,2019-05-01
2019-05-01 21:40:00,Open,30,372,2,Mercredi,342,91.93548387096774,21:40:00,2019-05-01
2019-05-01 22:00:00,Open,30,372,2,Mercredi,342,91.93548387096774,22:00:00,2019-05-01
2019-05-01 22:20:00,Open,29,372,2,Mercredi,343,92.20430107526882,22:20:00,2019-05-01
2019-05-01 22:40:00,Open,28,372,2,Mercredi,344,92.47311827956989,22:40:00,2019-05-01
2019-05-01 23:00:00,Open,26,372,2,Mercredi,346,93.01075268817203,23:00:00,2019-05-01
2019-05-01 23:20:00,Open,22,372,2,Mercredi,350,94.08602150537635,23:20:00,2019-05-01
2019-05-01 23:40:00,Open,21,372,2,Mercredi,351,94.35483870967742,23:40:00,2019-05-01
2019-06-01 00:00:00,Open,20,372,5,Samedi,352,94.6236559139785,00:00:00,2019-06-01
2019-06-01 00:20:00,Open,18,372,5,Samedi,354,95.16129032258065,00:20:00,2019-06-01
2019-06-01 00:40:00,Open,18,372,5,Samedi,354,95.16129032258065,00:40:00,2019-06-01
2019-06-01 01:00:00,Open,17,372,5,Samedi,355,95.43010752688173,01:00:00,2019-06-01
2019-06-01 01:20:00,Open,17,372,5,Samedi,355,95.43010752688173,01:20:00,2019-06-01
2019-06-01 01:40:00,Open,17,372,5,Samedi,355,95.43010752688173,01:40:00,2019-06-01
2019-06-01 02:00:00,Open,17,372,5,Samedi,355,95.43010752688173,02:00:00,2019-06-01
2019-06-01 02:20:00,Open,17,372,5,Samedi,355,95.43010752688173,02:20:00,2019-06-01
2019-06-01 02:40:00,Open,17,372,5,Samedi,355,95.43010752688173,02:40:00,2019-06-01
2019-06-01 03:00:00,Open,17,372,5,Samedi,355,95.43010752688173,03:00:00,2019-06-01
2019-06-01 03:20:00,Open,17,372,5,Samedi,355,95.43010752688173,03:20:00,2019-06-01
2019-06-01 03:40:00,Open,17,372,5,Samedi,355,95.43010752688173,03:40:00,2019-06-01
2019-06-01 04:00:00,Open,17,372,5,Samedi,355,95.43010752688173,04:00:00,2019-06-01
2019-06-01 04:20:00,Open,17,372,5,Samedi,355,95.43010752688173,04:20:00,2019-06-01
2019-06-01 04:40:00,Open,17,372,5,Samedi,355,95.43010752688173,04:40:00,2019-06-01
2019-06-01 05:00:00,Open,17,372,5,Samedi,355,95.43010752688173,05:00:00,2019-06-01
2019-06-01 05:20:00,Open,17,372,5,Samedi,355,95.43010752688173,05:20:00,2019-06-01
2019-06-01 05:40:00,Open,17,372,5,Samedi,355,95.43010752688173,05:40:00,2019-06-01
2019-06-01 06:00:00,Open,17,372,5,Samedi,355,95.43010752688173,06:00:00,2019-06-01
2019-06-01 06:20:00,Open,17,372,5,Samedi,355,95.43010752688173,06:20:00,2019-06-01
2019-06-01 06:40:00,Open,17,372,5,Samedi,355,95.43010752688173,06:40:00,2019-06-01
2019-06-01 07:00:00,Open,17,372,5,Samedi,355,95.43010752688173,07:00:00,2019-06-01
2019-06-01 07:20:00,Open,17,372,5,Samedi,355,95.43010752688173,07:20:00,2019-06-01
2019-06-01 07:40:00,Open,17,372,5,Samedi,355,95.43010752688173,07:40:00,2019-06-01
2019-06-01 08:00:00,Open,17,372,5,Samedi,355,95.43010752688173,08:00:00,2019-06-01
2019-06-01 08:20:00,Open,20,372,5,Samedi,352,94.6236559139785,08:20:00,2019-06-01
2019-06-01 08:40:00,Open,20,372,5,Samedi,352,94.6236559139785,08:40:00,2019-06-01
2019-06-01 09:00:00,Open,21,372,5,Samedi,351,94.35483870967742,09:00:00,2019-06-01
2019-06-01 09:20:00,Open,21,372,5,Samedi,351,94.35483870967742,09:20:00,2019-06-01
2019-06-01 09:40:00,Open,23,372,5,Samedi,349,93.81720430107528,09:40:00,2019-06-01
2019-06-01 10:00:00,Open,24,372,5,Samedi,348,93.54838709677419,10:00:00,2019-06-01
2019-06-01 10:20:00,Open,23,372,5,Samedi,349,93.81720430107528,10:20:00,2019-06-01
2019-06-01 10:40:00,Open,24,372,5,Samedi,348,93.54838709677419,10:40:00,2019-06-01
2019-06-01 11:00:00,Open,24,372,5,Samedi,348,93.54838709677419,11:00:00,2019-06-01
2019-06-01 11:20:00,Open,27,372,5,Samedi,345,92.74193548387096,11:20:00,2019-06-01
2019-06-01 11:40:00,Open,27,372,5,Samedi,345,92.74193548387096,11:40:00,2019-06-01
2019-06-01 12:00:00,Open,25,372,5,Samedi,347,93.27956989247312,12:00:00,2019-06-01
2019-06-01 12:20:00,Open,24,372,5,Samedi,348,93.54838709677419,12:20:00,2019-06-01
2019-06-01 12:40:00,Open,25,372,5,Samedi,347,93.27956989247312,12:40:00,2019-06-01
2019-06-01 13:00:00,Open,26,372,5,Samedi,346,93.01075268817203,13:00:00,2019-06-01
2019-06-01 13:20:00,Open,28,372,5,Samedi,344,92.47311827956989,13:20:00,2019-06-01
2019-06-01 13:40:00,Open,28,372,5,Samedi,344,92.47311827956989,13:40:00,2019-06-01
2019-06-01 14:00:00,Open,28,372,5,Samedi,344,92.47311827956989,14:00:00,2019-06-01
2019-06-01 14:20:00,Open,31,372,5,Samedi,341,91.66666666666666,14:20:00,2019-06-01
2019-06-01 14:40:00,Open,30,372,5,Samedi,342,91.93548387096774,14:40:00,2019-06-01
2019-06-01 15:00:00,Open,30,372,5,Samedi,342,91.93548387096774,15:00:00,2019-06-01
2019-06-01 15:20:00,Open,28,372,5,Samedi,344,92.47311827956989,15:20:00,2019-06-01
2019-06-01 15:40:00,Open,28,372,5,Samedi,344,92.47311827956989,15:40:00,2019-06-01
2019-06-01 16:00:00,Open,25,372,5,Samedi,347,93.27956989247312,16:00:00,2019-06-01
2019-06-01 16:20:00,Open,24,372,5,Samedi,348,93.54838709677419,16:20:00,2019-06-01
2019-06-01 16:40:00,Open,24,372,5,Samedi,348,93.54838709677419,16:40:00,2019-06-01
2019-06-01 17:00:00,Open,25,372,5,Samedi,347,93.27956989247312,17:00:00,2019-06-01
2019-06-01 17:20:00,Open,23,372,5,Samedi,349,93.81720430107528,17:20:00,2019-06-01
2019-06-01 17:40:00,Open,24,372,5,Samedi,348,93.54838709677419,17:40:00,2019-06-01
2019-06-01 18:00:00,Open,23,372,5,Samedi,349,93.81720430107528,18:00:00,2019-06-01
2019-06-01 18:20:00,Open,24,372,5,Samedi,348,93.54838709677419,18:20:00,2019-06-01
2019-06-01 18:40:00,Open,22,372,5,Samedi,350,94.08602150537635,18:40:00,2019-06-01
2019-06-01 19:00:00,Open,21,372,5,Samedi,351,94.35483870967742,19:00:00,2019-06-01
2019-06-01 19:20:00,Open,21,372,5,Samedi,351,94.35483870967742,19:20:00,2019-06-01
2019-06-01 19:40:00,Open,21,372,5,Samedi,351,94.35483870967742,19:40:00,2019-06-01
2019-06-01 20:00:00,Open,19,372,5,Samedi,353,94.89247311827957,20:00:00,2019-06-01
2019-06-01 20:20:00,Open,19,372,5,Samedi,353,94.89247311827957,20:20:00,2019-06-01
2019-06-01 20:40:00,Open,19,372,5,Samedi,353,94.89247311827957,20:40:00,2019-06-01
2019-06-01 21:00:00,Open,17,372,5,Samedi,355,95.43010752688173,21:00:00,2019-06-01
2019-06-01 21:20:00,Open,18,372,5,Samedi,354,95.16129032258065,21:20:00,2019-06-01
2019-06-01 21:40:00,Open,18,372,5,Samedi,354,95.16129032258065,21:40:00,2019-06-01
2019-06-01 22:00:00,Open,19,372,5,Samedi,353,94.89247311827957,22:00:00,2019-06-01
2019-06-01 22:20:00,Open,20,372,5,Samedi,352,94.6236559139785,22:20:00,2019-06-01
2019-06-01 22:40:00,Open,20,372,5,Samedi,352,94.6236559139785,22:40:00,2019-06-01
2019-06-01 23:00:00,Open,20,372,5,Samedi,352,94.6236559139785,23:00:00,2019-06-01
2019-06-01 23:20:00,Open,21,372,5,Samedi,351,94.35483870967742,23:20:00,2019-06-01
2019-06-01 23:40:00,Open,21,372,5,Samedi,351,94.35483870967742,23:40:00,2019-06-01
2019-07-01 00:00:00,Open,21,372,0,Lundi,351,94.35483870967742,00:00:00,2019-07-01
2019-07-01 00:20:00,Open,22,372,0,Lundi,350,94.08602150537635,00:20:00,2019-07-01
2019-07-01 00:40:00,Open,22,372,0,Lundi,350,94.08602150537635,00:40:00,2019-07-01
2019-07-01 01:00:00,Open,22,372,0,Lundi,350,94.08602150537635,01:00:00,2019-07-01
2019-07-01 01:20:00,Open,22,372,0,Lundi,350,94.08602150537635,01:20:00,2019-07-01
2019-07-01 01:40:00,Open,22,372,0,Lundi,350,94.08602150537635,01:40:00,2019-07-01
2019-07-01 02:00:00,Open,22,372,0,Lundi,350,94.08602150537635,02:00:00,2019-07-01
2019-07-01 02:20:00,Open,22,372,0,Lundi,350,94.08602150537635,02:20:00,2019-07-01
2019-07-01 02:40:00,Open,22,372,0,Lundi,350,94.08602150537635,02:40:00,2019-07-01
2019-07-01 03:00:00,Open,22,372,0,Lundi,350,94.08602150537635,03:00:00,2019-07-01
2019-07-01 03:20:00,Open,22,372,0,Lundi,350,94.08602150537635,03:20:00,2019-07-01
2019-07-01 03:40:00,Open,22,372,0,Lundi,350,94.08602150537635,03:40:00,2019-07-01
2019-07-01 04:00:00,Open,22,372,0,Lundi,350,94.08602150537635,04:00:00,2019-07-01
